lei,ementa
"Lei nº 14.439, de 24.8.2022Publicada no DOU de 25 .8.2022","Altera a Lei nº 11.438, de 29 de dezembro de 2006, para aumentar os limites para dedução dos valores destinados a projetos desportivos e paradesportivos do imposto de renda e para aumentar a relação de proponentes dos projetos, e a Lei nº 9.532, de 10 de dezembro de 1997, para permitir que as doações e patrocínios a projeto desportivo ou paradesportivo destinado a promover a inclusão social por meio do esporte, preferencialmente em comunidades em situação de vulnerabilidade social, partilhem os limites de dedução das doações a projetos culturais . Mensagem de veto"
"Lei nº 14.438, de 24.8.2022Publicada no DOU de 25 .8.2022","Institui o Programa de Simplificação do Microcrédito Digital para Empreendedores (SIM Digital); promove alterações na gestão e nos procedimentos de recolhimento do Fundo de Garantia do Tempo de Serviço (FGTS); altera a Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, e as Leis nºs 8.212, de 24 de julho de 1991, 11.196, de 21 de novembro de 2005, 8.036, de 11 de maio de 1990, 13.636, de 20 de março de 2018, e 14.118, de 12 de janeiro de 2021; e revoga dispositivo da Lei nº 8.213, de 24 de julho de 1991."
"Lei nº 14.437, de 15.8.2022Publicada no DOU de 16 .8.2022","Autoriza o Poder Executivo federal a dispor sobre a adoção, por empregados e empregadores, de medidas trabalhistas alternativas e sobre o Programa Emergencial de Manutenção do Emprego e da Renda, para enfrentamento das consequências sociais e econômicas de estado de calamidade pública em âmbito nacional ou em âmbito estadual, distrital ou municipal reconhecido pelo Poder Executivo federal."
"Lei nº 14.436, de 9.8.2022Publicada no DOU de 10 .8.2022",Dispõe sobre as diretrizes para a elaboração e a execução da Lei Orçamentária de 2023 e dá outras providências .  Mensagem de veto
"Lei nº 14.435, de 4.8.2022Publicada no DOU de 5 .8.2022","Altera a Lei nº 14.194, de 20 de agosto de 2021, que dispõe sobre as diretrizes para a elaboração e a execução da Lei Orçamentária de 2022.  Mensagem de veto"
"Lei nº 14.434, de 4.8.2022Publicada no DOU de 5 .8.2022","Altera a Lei nº 7.498, de 25 de junho de 1986, para instituir o piso salarial nacional do Enfermeiro, do Técnico de Enfermagem, do Auxiliar de Enfermagem e da Parteira.  Mensagem de veto"
"Lei nº 14.433, de 4.8.2022Publicada no DOU de 5 .8.2022","Abre crédito extraordinário em favor de Operações Oficiais de Crédito, no valor de R$ 1.200.000.000,00 (um bilhão e duzentos milhões de reais), para o fim que especifica."
"Lei nº 14.432, de 3.8.2022Publicada no DOU de 4 .8.2022","Institui a campanha Maio Laranja, a ser realizada no mês de maio de cada ano, em todo o território nacional, com ações efetivas de combate ao abuso e à exploração sexual de crianças e adolescentes."
"Lei nº 14.431, de 3.8.2022Publicada no DOU de 4 .8.2022","Altera as Leis nºs 10.820, de 17 de dezembro de 2003, 8.213, de 24 de julho de 1991, e 8.112, de 11 de dezembro de 1990, para ampliar a margem de crédito consignado aos empregados regidos pela Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, aos segurados do regime próprio de previdência social dos servidores públicos federais, aos servidores públicos federais e aos segurados do Regime Geral de Previdência Social e para autorizar a realização de empréstimos e financiamentos mediante crédito consignado para beneficiários do benefício de prestação continuada e de programas federais de transferência de renda, a Lei nº 13.846, de 18 de junho de 2019, para dispor sobre a restituição de valores aos cofres públicos, e a Lei nº 14.284, de 29 de dezembro de 2021, para alterar procedimentos relativos à concessão do Auxílio Inclusão Produtiva Urbana.  Mensagem de veto"
"Lei nº 14.430, de 3.8.2022Publicada no DOU de 4 .8.2022","Dispõe sobre a emissão de Letra de Risco de Seguro (LRS) por Sociedade Seguradora de Propósito Específico (SSPE), sobre as regras gerais aplicáveis à securitização de direitos creditórios e à emissão de Certificados de Recebíveis e sobre a flexibilização do requisito de instituição financeira para a prestação do serviço de escrituração e de custódia de valores mobiliários; altera as Leis nºs 6.404, de 15 de dezembro de 1976, 6.385, de 7 de dezembro de 1976, 9.718, de 27 de novembro de 1998, 4.594, de 29 de dezembro de 1964, e o Decreto-Lei nº 73, de 21 de novembro de 1966; e revoga dispositivos das Leis nºs 9.514, de 20 de novembro de 1997, 10.931, de 2 de agosto de 2004, 11.076, de 30 de dezembro de 2004, 12.810, de 15 de maio de 2013, 13.331, de 1º de setembro de 2016, e 13.986, de 7 de abril de 2020.  Mensagem de veto"
"Lei nº 14.429, de 1º.8.2022Publicada no DOU de 2 .8.2022","Denomina Passarela Jardim Mimás – Embu das Artes a passarela localizada no Km 275,5 da Rodovia Régis Bittencourt, BR-116/SP/PR, no Município de Embu das Artes, Estado de São Paulo ."
"Lei nº 14.428, de 28.7.2022Publicada no DOU de 29 .7.2022","Denomina “Viaduto Ademir Barros” o novo viaduto localizado no km 102 da rodovia BR-040, na entrada do Distrito de Xerém, Município de Duque de Caxias, Estado do Rio de Janeiro ."
"Lei nº 14.427, de 28.7.2022Publicada no DOU de 29 .7.2022","Denomina Estrada Prefeito Horácio Amaral o trecho da rodovia BR-158 situado entre os Municípios de Campo Mourão e Roncador, no Estado do Paraná ."
"Lei nº 14.426, de 28.7.2022Publicada no DOU de 29 .7.2022","Denomina Desembargador Federal Leomar Amorim o trecho da rodovia BR-222 entre o cruzamento com a rodovia BR-135 e o Município de Chapadinha, no Estado do Maranhão ."
"Lei nº 14.425, de 27.7.2022Publicada no DOU de 28 .7.2022","Confere ao Município de Esteio, no Rio Grande do Sul, o título de Capital Nacional da Solidariedade ."
"Lei nº 14.424, de 27.7.2022Publicada no DOU de 28 .7.2022","Altera a Lei nº 13.116, de 20 de abril de 2015, para autorizar a instalação de infraestrutura de telecomunicações, nos termos do requerimento de instalação, em caso de não manifestação do órgão competente no prazo legalmente estabelecido ."
"Lei nº 14.423, de 22.7.2022Publicada no DOU de 25 .7.2022","Altera a Lei nº 10.741, de 1º de outubro de 2003, para substituir, em toda a Lei, as expressões “idoso” e “idosos” pelas expressões “pessoa idosa” e “pessoas idosas”, respectivamente."
"Lei nº 14.422, de 22.7.2022Publicada no DOU de 25 .7.2022",Institui o Dia Nacional do Endocrinologista.
"Lei nº 14.421, de 20.7.2022Publicada no DOU de 21 .7.2022","Altera as Leis nºs 492, de 30 de agosto de 1937, 6.015, de 31 de dezembro de 1973 (Lei de Registros Públicos), 8.668, de 25 de junho de 1993, 8.929, de 22 de agosto de 1994, 10.925, de 23 de julho de 2004, 11.076, de 30 de dezembro de 2004, e 13.986, de 7 de abril de 2020, e os Decretos-Lei nºs 3.365, de 21 de junho de 1941, e 167, de 14 de fevereiro de 1967.  Mensagem de veto"
"Lei nº 14.420, de 20.7.2022Publicada no DOU de 21 .7.2022",Institui a Semana Nacional de Conscientização sobre o Transtorno do Déficit de Atenção com Hiperatividade (TDAH).
"Lei nº 14.419, de 20.7.2022Publicada no DOU de 21 .7.2022",Institui o Dia Nacional do Cristão.
"Lei nº 14.418, de 20.7.2022Publicada no DOU de 21 .7.2022",Declara Maria Lenk Patrona da Natação Brasileira.
"Lei nº 14.417, de 20.7.2022Publicada no DOU de 21 .7.2022","Altera a Lei nº 12.513, de 26 de outubro de 2011, para permitir a execução do Programa Nacional de Acesso ao Ensino Técnico e Emprego (Pronatec) às instituições públicas prestadoras oficiais dos serviços de assistência técnica e extensão rural."
"Lei nº 14.416, de 19.7.2022Publicada no DOU de 20 .7.2022","Altera a Lei nº 9.875, de 25 de novembro de 1999, para denominar “Rodovia Ulysses Guimarães – Trecho José Paschoal Baggio” o trecho da rodovia BR-282 que especifica."
"Lei nº 14.415, de 18.7.2022Publicada no DOU de 19 .7.2022","Institui o Dia Nacional do Laringectomizado, a ser celebrado, anualmente, no dia 11 de agosto."
"Lei nº 14.414, de 18.7.2022Publicada no DOU de 19 .7.2022","Confere ao Município de Teresópolis, no Estado do Rio de Janeiro, o título de Capital Nacional do Lúpulo."
"Lei nº 14.413, de 15.7.2022Publicada no DOU de 15 .7.2022 - Edição extra","Abre ao Orçamento Fiscal da União, em favor de Operações Oficiais de Crédito, crédito suplementar no valor de R$ 1.200.000.000,00, para reforço de dotações constantes da Lei Orçamentária vigente ."
"Lei nº 14.412, de 15.7.2022Publicada no DOU de 15 .7.2022 - Edição extra","Altera a Lei nº 14.303, de 21 de janeiro de 2022, que estima a receita e fixa a despesa da União para o exercício financeiro de 2022."
"Lei nº 14.411, de 15.7.2022Publicada no DOU de 15 .7.2022 - Edição extra","Abre ao Orçamento da Seguridade Social da União, em favor do Ministério do Trabalho e Previdência, crédito especial no valor de R$ 312.721.134,00, para o fim que especifica ."
"Lei nº 14.410, de 15.7.2022Publicada no DOU de 15 .7.2022 - Edição extra","Abre ao Orçamento Fiscal da União, em favor dos Poderes Legislativo e Judiciário, da Defensoria Pública da União e do Ministério Público da União, crédito suplementar no valor de R$ 202.540.096,00, para reforço de dotações constantes da Lei Orçamentária vigente ."
"Lei nº 14.409, de 15.7.2022Publicada no DOU de 15 .7.2022 - Edição extra","Abre ao Orçamento Fiscal da União, em favor de Encargos Financeiros da União, crédito especial no valor de R$ 23.912.137.414,00, para o fim que especifica ."
"Lei nº 14.408, de 12.7.2022Publicada no DOU de 13 .7.2022","Altera a Lei nº 4.117, de 27 de agosto de 1962 (Código Brasileiro de Telecomunicações), para dispor sobre a transferência, a comercialização e a cessão do tempo de programação para a produção independente."
"Lei nº 14.407, de 12.7.2022Publicada no DOU de 13 .7.2022","Altera a Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para estabelecer o compromisso da educação básica com a formação do leitor e o estímulo à leitura."
"Lei nº 14.406, de 12.7.2022Publicada no DOU de 13 .7.2022","Altera a Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa, e o Decreto-Lei nº 917, de 8 de outubro de 1969, que dispõe sobre o emprego da aviação agrícola no País, para incluir o uso da aviação agrícola nas diretrizes e políticas governamentais de combate a incêndios florestais."
"Lei nº 14.405, de 12.7.2022Publicada no DOU de 13 .7.2022","Altera a Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para tornar exigível, em condomínios edilícios, a aprovação de 2/3 (dois terços) dos votos dos condôminos para a mudança da destinação do edifício ou da unidade imobiliária."
"Lei nº 14.404, de 11.7.2022Publicada no DOU de 12 .7.2022",Institui o Dia Nacional de Conscientização sobre a Fissura Labiopalatina.
"Lei nº 14.403, de 11.7.2022Publicada no DOU de 12 .7.2022","Denomina “Travessia Paixão Côrtes” a segunda ponte sobre o rio Guaíba na BR-290, no Município de Porto Alegre, Estado do Rio Grande do Sul."
"Lei nº 14.402, de 8.7.2022Publicada no DOU de 8 .7.2022 - Edição extra","Institui o Dia dos Povos Indígenas e revoga o Decreto-Lei nº 5.540, de 2 de junho de 1943."
"Lei nº 14.401, de 8.7.2022Publicada no DOU de 8 .7.2022 - Edição extra",Inscreve o nome de Nise Magalhães da Silveira no Livro dos Heróis e Heroínas da Pátria.
"Lei nº 14.400, de 8.7.2022Publicada no DOU de 8 .7.2022 - Edição extra","Altera a Lei nº 13.992, de 22 de abril de 2020, para prorrogar a suspensão da obrigatoriedade da manutenção das metas quantitativas e qualitativas contratualizadas pelos prestadores de serviço de saúde, de qualquer natureza, no âmbito do Sistema Único de Saúde (SUS) e garantir os repasses dos valores financeiros contratualizados em sua integralidade."
"Lei nº 14.399, de 8.7.2022Publicada no DOU de 8 .7.2022 - Edição extra",Institui a Política Nacional Aldir Blanc de Fomento à Cultura.
"Lei nº 14.398, de 8.7.2022Publicada no DOU de 8 .7.2022 - Edição extra",Institui o documento de identidade de notários e registradores e de escreventes de serventias extrajudiciais.
"Lei nº 14.397, de 8.7.2022Publicada no DOU de 8 .7.2022 - Edição extra",Anistia infrações e anula multas por atraso na entrega da Guia de Recolhimento do Fundo de Garantia do Tempo de Serviço e Informações à Previdência Social (GFIP).
"Lei nº 14.396, de 8.7.2022Publicada no DOU de 8 .7.2022 - Edição extra","Denomina Rodovia Presidente João Goulart o trecho da rodovia BR-153 compreendido entre o Município de Cachoeira do Sul, no Estado do Rio Grande do Sul, e o Município de Marabá, no Estado do Pará."
"Lei nº 14.395, de 8.7.2022Publicada no DOU de 8 .7.2022 - Edição extra","Altera a Lei nº 4.502, de 30 de novembro de 1964, para conceituar o termo “praça” para os fins que especifica."
"Lei nº 14.394, de 4.7.2022Publicada no DOU de 5 .7.2022",Reconhece a competição Freio de Ouro como manifestação da cultura nacional .
"Lei nº 14.393, de 4.7.2022Publicada no DOU de 5 .7.2022","Altera a Lei nº 9.795, de 27 de abril de 1999, que dispõe sobre a Política Nacional de Educação Ambiental, para instituir a Campanha Junho Verde."
"Lei nº 14.392, de 4.7.2022Publicada no DOU de 5 .7.2022",Reconhece a Marcha de Resistência do Cavalo Crioulo do Rio Grande do Sul como manifestação da cultura nacional .
"Lei nº 14.391, de 4.7.2022Publicada no DOU de 5 .7.2022","Altera a Lei nº 9.875, de 25 de novembro de 1999, para denominar “Rodovia Ulysses Guimarães – Travessia Urbana Renato Nunes de Oliveira” o trecho da rodovia BR-282 entre o km 214,34 e o km 222,06, no Município de Lages, Estado de Santa Catarina ."
"Lei nº 14.390, de 4.7.2022Publicada no DOU de 5 .7.2022","Altera a Lei nº 14.046, de 24 de agosto de 2020, para dispor sobre medidas emergenciais para atenuar os efeitos da crise decorrente da pandemia da covid-19 nos setores de turismo e de cultura; revoga dispositivos da Lei nº 14.186, de 15 de julho de 2021; e dá outras providências .  Mensagem de veto"
"Lei nº 14.389, de 30.6.2022Publicada no DOU de 1º .7.2022",Institui o Dia Nacional da Natação.
"Lei nº 14.388, de 30.6.2022Publicada no DOU de 1º .7.2022","Confere ao Município de Nova Esperança, no Estado do Paraná, o título de Capital Nacional da Seda."
"Lei nº 14.387, de 30.6.2022Publicada no DOU de 1º .7.2022","Altera a Lei nº 10.447, de 9 de maio de 2002, para instituir a Semana Nacional da Adoção."
"Lei nº 14.386, de 27.6.2022Publicada no DOU de 28 .6.2022","Altera a Lei nº 9.696, de 1º de setembro de 1998, que dispõe sobre a regulamentação da profissão de Educação Física e cria o Conselho Federal de Educação Física e os Conselhos Regionais de Educação Física.  Mensagem de veto"
"Lei nº 14.385, de 27.6.2022Publicada no DOU de 28 .6.2022","Altera a Lei nº 9.427, de 26 de dezembro de 1996, para disciplinar a devolução de valores de tributos recolhidos a maior pelas prestadoras do serviço público de distribuição de energia elétrica ."
"Lei nº 14.384, de 27.6.2022Publicada no DOU de 28 .6.2022","Denomina Aeroporto de Macaé/Rio de Janeiro – Joaquim de Azevedo Mancebo o aeroporto situado na cidade de Macaé, Estado do Rio de Janeiro."
"Lei nº 14.383, de 27.6.2022Publicada no DOU de 28 .6.2022","Confere ao Município de Atibaia, Estado de São Paulo, o título de Capital Nacional do Morango."
"Lei nº 14.382, de 27.6.2022Publicada no DOU de 28 .6.2022","Dispõe sobre o Sistema Eletrônico dos Registros Públicos (Serp); altera as Leis nºs 4.591, de 16 de dezembro de 1964, 6.015, de 31 de dezembro de 1973 (Lei de Registros Públicos), 6.766, de 19 de dezembro de 1979, 8.935, de 18 de novembro de 1994, 10.406, de 10 de janeiro de 2002 (Código Civil), 11.977, de 7 de julho de 2009, 13.097, de 19 de janeiro de 2015, e 13.465, de 11 de julho de 2017; e revoga a Lei nº 9.042, de 9 de maio de 1995, e dispositivos das Leis nºs 4.864, de 29 de novembro de 1965, 8.212, de 24 de julho de 1991, 12.441, de 11 de julho de 2011, 12.810, de 15 de maio de 2013, e 14.195, de 26 de agosto de 2021 .  Mensagem de veto"
"Lei nº 14.381, de 23.6.2022Publicada no DOU de 24 .6.2022","Abre crédito extraordinário em favor do Ministério do Desenvolvimento Regional, no valor de R$ 479.866.600,00 (quatrocentos e setenta e nove milhões, oitocentos e sessenta e seis mil e seiscentos reais), para o fim que especifica."
"Lei nº 14.380, de 22.6.2022Publicada no DOU de 23 .6.2022","Denomina Ponte da Integração Jaime Lerner o trecho brasileiro da ponte sobre o Rio Paraná entre Foz do Iguaçu e Presidente Franco, na divisa da República Federativa do Brasil com a República do Paraguai ."
"Lei nº 14.379, de 22.6.2022Publicada no DOU de 23 .6.2022","Denomina Passarela Hermínio Pertel a passarela construída na BR-101, Rodovia Governador Mário Covas, na localidade de Guatemala, Município de Ibiraçu, Estado do Espírito Santo ."
"Lei nº 14.378, de 22.6.2022Publicada no DOU de 23 .6.2022","Denomina “Viaduto Antônio de Pádua Perosa” o viaduto localizado no km 71 da BR-153, no perímetro urbano do Município de São José do Rio Preto, no Estado de São Paulo ."
"Lei nº 14.377, de 22.6.2022Publicada no DOU de 23 .6.2022",Dispõe sobre a estruturação do Plano de Carreiras e Cargos de Provimento Efetivo dos Servidores da Defensoria Pública da União; fixa o valor de suas remunerações; e dá outras providências .  Mensagem de veto
"Lei nº 14.376, de 22.6.2022Publicada no DOU de 23 .6.2022","Denomina “Estrada Senador Murilo Badaró” o trecho rodoviário da BR-367 que liga os Municípios de Minas Novas e Araçuaí, no Estado de Minas Gerais ."
"Lei nº 14.375, de 21.6.2022Publicada no DOU de 22 .6.2022","Altera as Leis nºs 10.260, de 12 de julho de 2001, 10.522, de 19 de julho de 2002, e 12.087, de 11 de novembro de 2009, para estabelecer os requisitos e as condições para realização das transações resolutivas de litígio relativas à cobrança de créditos do Fundo de Financiamento Estudantil (Fies), a Lei nº 10.861, de 14 de abril de 2004, para estabelecer a possibilidade de avaliação in loco na modalidade virtual das instituições de ensino superior e de seus cursos de graduação, a Lei nº 13.988, de 14 de abril de 2020, para aperfeiçoar os mecanismos de transação de dívidas, e a Lei nº 13.496, de 24 de outubro de 2017; e revoga dispositivos das Leis nºs 13.530, de 7 de dezembro de 2017, 13.682, de 19 de junho de 2018, 13.874, de 20 de setembro de 2019, e 14.024, de 9 de julho de 2020.  Mensagem de veto"
"Lei nº 14.374, de 21.6.2022Publicada no DOU de 22 .6.2022","Altera as Leis nºs 11.196, de 21 de novembro de 2005, e 10.865, de 30 de abril de 2004, para definir condições para a apuração do valor a recolher da Contribuição para os Programas de Integração Social e de Formação do Patrimônio do Servidor Público (Contribuição para o PIS/Pasep) e da Contribuição para o Financiamento da Seguridade Social (Cofins) pelas centrais petroquímicas e indústrias químicas, e a Lei nº 14.183, de 14 de julho de 2021.  Mensagem de veto"
"Lei nº 14.373, de 15.6.2022Publicada no DOU de 15 .6.2022 - Edição extra","Denomina Engenheiro Manoel dos Passos Barros o viaduto localizado no entroncamento da BR-101 com a BR-262, no Município de Cariacica, Estado do Espírito Santo."
"Lei nº 14.372, de 15.6.2022Publicada no DOU de 15 .6.2022 - Edição extra","Confere ao Município de Gaspar, no Estado de Santa Catarina, o título de Capital Nacional da Moda Infantil."
"Lei nº 14.371, de 15.6.2022Publicada no DOU de 15 .6.2022 - Edição extra",Declara o Presidente Tancredo de Almeida Neves Patrono da Redemocratização Brasileira.
"Lei nº 14.370, de 15.6.2022Publicada no DOU de 15 .6.2022 - Edição extra",Institui o Programa Nacional de Prestação de Serviço Civil Voluntário e o Prêmio Portas Abertas.
"Lei nº 14.369, de 15.6.2022Publicada no DOU de 15 .6.2022 - Edição extra","Altera a Lei Complementar nº 89, de 18 de fevereiro de 1997, que institui o Fundo para Aparelhamento e Operacionalização das Atividades-fim da Polícia Federal (Funapol)."
"Lei nº 14.368, de 14.6.2022Publicada no DOU de 15 .6.2022","Altera as Leis nºs 6.009, de 26 de dezembro de 1973, 7.565, de 19 de dezembro de 1986 (Código Brasileiro de Aeronáutica), 13.448, de 5 de junho de 2017, 11.182, de 27 de setembro de 2005, 9.826, de 23 de agosto de 1999, 10.833, de 29 de dezembro de 2003, e 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), para dispor sobre o transporte aéreo; e revoga dispositivos das Leis nºs 5.862, de 12 de dezembro de 1972, e 8.666, de 21 de junho de 1993 .  Mensagem de veto"
"Lei nº 14.367, de 14.6.2022Publicada no DOU de 15 .6.2022","Altera as Leis nºs 9.478, de 6 de agosto de 1997, e 9.718, de 27 de novembro de 1998, para promover ajustes na cobrança da Contribuição para os Programas de Integração Social e de Formação do Patrimônio do Servidor Público (Contribuição para o PIS/Pasep) e da Contribuição para o Financiamento da Seguridade Social (Cofins) incidentes sobre a cadeia de produção e de comercialização de etanol hidratado combustível; e revoga a Medida Provisória nº 1.069, de 13 de setembro de 2021."
